path,title,artist,album,year,duration_ms,spotify_track_id,spotify_url,match_score,match_title,match_artist
Worakls - Question Réponse.mp3,Question Reponse,Worakls,,,366420,5bsqVWz1HriB7VTkUyPHRC,https://open.spotify.com/track/5bsqVWz1HriB7VTkUyPHRC,1,Question réponse,Worakls
Yeah Yeah Yeahs - Heads Will Roll (A-Trak remix).mp3,Heads Will Roll (A-Trak remix),Yeah Yeah Yeahs,,,204016,5qGIfWDRdyO67LCTqA2sEn,https://open.spotify.com/track/5qGIfWDRdyO67LCTqA2sEn,0.7,Heads Will Roll - A-Trak Remix Radio Edit,"Yeah Yeah Yeahs, A-Trak"
Ylvis - The Fox (What Does The Fox Say) [Official music video HD] - Copy (1).mp3,The Fox (What Does The Fox Say) - Copy (1),Ylvis,,,224862,5HOpkTTVcmZHnthgyxrIL8,https://open.spotify.com/track/5HOpkTTVcmZHnthgyxrIL8,0.7,The Fox (What Does the Fox Say?),Ylvis
Yves V & Blasterjaxx - That Big (Original Mix).mp3,That Big,Yves V & Blasterjaxx,,,395651,3U285hGSihPH0aW79xWePf,https://open.spotify.com/track/3U285hGSihPH0aW79xWePf,0.7,That Big,"Yves V, Blasterjaxx"
Zedd - Clarity (feat. Foxes).mp3,Clarity (feat. Foxes),Zedd,,,271700,4jIQ0wouzKHbi1fYHORIN0,https://open.spotify.com/track/4jIQ0wouzKHbi1fYHORIN0,0.6,Clarity (feat. Foxes) - Tiësto Remix,"Zedd, Foxes"
Zoo Brazil feat. Rasmus Kellerman - There Is Hope.mp3,There Is Hope,Zoo Brazil feat. Rasmus Kellerman,,,365819,3eWquPz3CfZPWLYAyN9uLq,https://open.spotify.com/track/3eWquPz3CfZPWLYAyN9uLq,0.6,There Is Hope,"Zoo Brazil, Rasmus Kellerman"
Favorites/2Pac feat. Kurupt - Still Ballin' (Lucas Chambon Remix).mp3,Still Ballin' (Lucas Chambon Remix),2Pac feat. Kurupt,,,288287,7CgwWiqDC2gRp3qdmFHEzo,https://open.spotify.com/track/7CgwWiqDC2gRp3qdmFHEzo,0.7,Still Ballin' (feat. Outlawz),"Yukmouth, Outlawz"
Favorites/Acris & Infra - Synergy.mp3,Synergy,Acris & Infra,,,180010,7mY66rJH0Cn0LpwbjpiDC0,https://open.spotify.com/track/7mY66rJH0Cn0LpwbjpiDC0,0.6,Synergy,"Acris, Infra"
Favorites/Anthony Rother - Father.mp3,Father,Anthony Rother,,,391184,5xrWAghzKsJAHUk62sqV5j,https://open.spotify.com/track/5xrWAghzKsJAHUk62sqV5j,0.9,Father,Anthony Rother
Favorites/ATB - You're Not Alone - HQ.mp3,You're Not Alone,ATB,,,210730,1DSP4ICbBkSOuoGq0lYQwR,https://open.spotify.com/track/1DSP4ICbBkSOuoGq0lYQwR,1,You're Not Alone,ATB
